,session_date_percentile,Summary_Length,cost,Hot_Topic,Made_Law,Starting_Committee,Revised_SoP,Amended,Started_House_Or_Senate
203,3,Medium,Medium,1,False,15,False,False,H
204,3,Medium,Medium,0,True,15,False,False,H
205,3,Medium,Medium,0,True,15,True,False,H
206,3,Medium,Medium,1,True,18,False,False,H
207,3,Medium,Medium,0,True,18,False,False,H
208,3,Medium,Medium,0,True,18,False,False,H
209,3,Medium,Medium,0,True,15,False,False,H
210,3,Medium,High,0,True,1,False,False,H
211,3,Medium,High,0,True,1,False,False,H
212,3,Medium,High,0,True,1,False,False,H
213,3,Medium,Medium,0,True,1,False,False,H
214,3,Medium,High,0,True,1,False,False,H
215,3,Medium,Medium,0,True,1,False,False,H
216,3,Medium,Medium,0,True,14,False,True,H
217,3,Medium,Medium,0,False,4,False,False,H
218,3,Medium,Medium,0,True,1,False,False,H
219,3,Medium,High,0,True,1,True,False,H
220,3,Medium,High,0,True,1,False,False,H
221,3,Medium,High,0,True,1,False,False,H
222,3,Medium,Medium,0,True,1,False,False,H
223,3,Medium,High,0,True,1,False,False,H
224,3,Medium,High,0,True,1,False,False,H
225,3,Medium,High,0,False,1,False,False,H
226,3,Medium,Medium,0,True,1,False,False,H
227,3,High,Medium,1,False,7,False,False,H
228,3,Medium,Medium,0,False,15,False,True,H
229,3,Medium,High,0,True,1,False,False,H
230,3,Medium,Medium,0,True,1,False,False,H
231,3,Medium,High,0,True,1,False,False,H
232,3,Medium,High,0,True,1,False,False,H
233,3,Medium,High,0,True,1,False,False,H
234,3,Medium,High,0,True,1,False,False,H
235,3,Medium,High,0,True,1,False,False,H
236,3,Medium,High,0,True,1,False,False,H
237,3,Medium,High,0,True,1,False,False,H
238,3,Medium,Medium,1,False,14,False,False,H
239,3,Medium,Medium,0,False,14,False,False,H
240,3,Medium,Medium,0,False,14,False,False,H
241,3,Medium,Medium,0,False,14,False,False,H
242,3,Medium,Medium,0,False,14,False,False,H
243,3,Medium,Medium,0,True,7,False,False,H
244,3,Medium,Medium,0,True,1,False,False,H
245,3,Medium,High,0,True,1,False,False,H
246,3,Medium,Medium,0,False,18,True,False,H
247,3,Medium,Medium,1,True,18,True,False,H
248,3,High,High,1,False,7,False,False,H
249,3,Medium,Medium,1,False,14,False,False,H
250,3,Medium,Medium,0,True,18,False,False,H
251,3,Medium,Medium,0,False,18,False,False,H
252,3,Medium,High,0,False,4,False,False,H
253,3,Medium,High,0,True,1,False,False,H
254,3,Medium,High,0,True,1,False,False,H
255,3,Medium,High,0,True,1,False,False,H
256,3,Medium,High,0,True,1,False,False,H
257,3,Medium,High,0,True,1,False,False,H
258,3,Medium,Medium,1,True,14,False,True,H
259,3,Medium,Medium,0,True,1,False,False,H
260,3,Medium,Medium,0,True,1,False,False,H
261,3,Medium,High,0,True,1,False,False,H
262,3,Medium,Medium,0,True,1,False,False,H
263,3,Medium,High,0,True,1,False,False,H
264,3,Medium,High,0,True,1,False,False,H
265,3,Medium,Medium,0,True,18,False,False,H
266,3,Medium,High,0,True,1,False,False,H
267,3,Medium,High,0,True,1,False,False,H
